//X Y Z Nx Ny Nz
3.78125477 -1.56800604 2.86800098 0.744836 -0.316917 0.587182
2.97039723 -2.72979140 2.95104504 0.577185 -0.560259 0.594111
4.00576591 -1.05518818 2.79886174 0.785788 -0.227832 0.575005
3.00489140 -2.62053418 3.01485538 0.615842 -0.507859 0.602344
3.34631562 -2.04356217 3.09821749 0.667927 -0.409374 0.621520
4.25399780 -0.56101513 2.56431389 0.846295 -0.123388 0.518228
2.59023690 -3.03367233 3.01042771 0.529052 -0.600043 0.600043
3.31943560 -1.96852207 3.17474198 0.662699 -0.394975 0.636258
2.35537982 -3.17596507 3.05605936 0.478154 -0.639216 0.602306
2.70096064 -2.75744772 3.17472386 0.528449 -0.565592 0.633125
1.95253599 -3.77715802 2.62890553 0.361844 -0.764253 0.533841
3.26116109 -1.69040465 3.38977170 0.668291 -0.333332 0.665039
2.38589692 -3.07700396 3.13253665 0.467540 -0.625063 0.625063
3.75917768 -1.01923800 3.13159204 0.744983 -0.209091 0.633468
2.96365881 -2.29256082 3.30919576 0.578292 -0.448302 0.681618
3.02049327 -2.01347446 3.43523717 0.615861 -0.394614 0.681905
2.08634806 -3.30924726 3.10889697 0.417618 -0.660535 0.623931
3.30051446 -1.51950336 3.43134737 0.667673 -0.294420 0.683761
1.33497322 -4.04328346 2.61530733 0.264351 -0.805566 0.530266
4.22343874 -0.05993159 2.67205143 0.851642 -0.012186 0.523983
3.58346581 -1.12616718 3.29663444 0.709771 -0.219951 0.669213
2.58992887 -2.57852626 3.40808344 0.520487 -0.510445 0.684499
1.53483629 -3.74441195 2.93217373 0.320573 -0.742634 0.587986
3.69175386 -0.83650863 3.26318002 0.745009 -0.172160 0.644455
3.76784277 -0.81820714 3.18014169 0.749649 -0.152343 0.644064
2.82503557 -2.17693782 3.50027895 0.570108 -0.430490 0.699754
1.87913108 -3.34698534 3.19943905 0.373904 -0.673687 0.637449
3.95192361 -0.54123843 3.01134324 0.783056 -0.107248 0.612635
4.13509703 -0.22727698 2.79853606 0.818038 -0.049279 0.573049
2.44839239 -2.63548684 3.46915245 0.477986 -0.524619 0.704488
2.24662185 -2.83816862 3.44784474 0.469564 -0.546432 0.693485
1.28010273 -3.93322349 2.80372906 0.251749 -0.792773 0.555098
2.62082720 -2.36492157 3.53699517 0.520152 -0.470298 0.712925
1.61919987 -3.60705662 3.05661058 0.307692 -0.729762 0.610551
2.87758851 -1.78543901 3.67505789 0.576414 -0.367402 0.729906
3.84357929 -0.41402802 3.16914892 0.782539 -0.073498 0.618249
3.15983105 -1.47011507 3.58207536 0.623465 -0.290096 0.726041
0.93265796 -4.02054787 2.81886125 0.210019 -0.801752 0.559540
3.38001251 -1.14992809 3.49788642 0.661333 -0.237200 0.711600
2.63412976 -2.01544952 3.73767161 0.530022 -0.402029 0.746625
1.50340629 -3.38383794 3.35694671 0.319598 -0.670021 0.670021
3.81716633 -0.30668151 3.21346569 0.748472 -0.076729 0.658713
3.01547050 -1.38980997 3.73561597 0.618078 -0.268522 0.738834
2.11088562 -2.67072511 3.65829873 0.416776 -0.541973 0.729769
1.13760638 -3.75262475 3.10020185 0.208388 -0.767177 0.606641
1.30455029 -3.48432302 3.33576441 0.265294 -0.700566 0.662440
