The time spent in the parallel computing activating process is 0.000209s.
-----
No.1	 toolpath -516.536235	[r = -600.000000] is calculated within 0.030055s.
-----
initial linear search begins: 
No.	x	f(x)
45	-542.261254	0.074040
46	-542.977813	-0.003537
bisection interval found by 1-dim search: [-542.977813,-542.261254]
No.17	 toolpath -459.409083	[r = -542.872149] is calculated within 11.368010s.
-----
initial linear search begins: 
No.	x	f(x)
0	-507.012060	6.909077
1	-507.729262	6.683922
2	-508.446464	6.396436
3	-509.163666	6.139871
4	-509.880867	5.846934
5	-510.598069	5.653431
6	-511.315271	5.552840
7	-512.032473	5.303030
8	-512.749675	5.147987
9	-513.466876	5.094455
10	-514.184078	5.086681
11	-514.901280	5.078906
12	-515.618482	5.062364
13	-516.335683	4.693834
14	-517.052885	4.365434
15	-517.770087	4.177740
16	-518.487289	3.963969
17	-519.204490	3.846322
18	-519.921692	3.777491
19	-520.638894	3.342025
20	-521.356096	3.063576
21	-522.073298	2.877009
22	-522.790499	2.759149
23	-523.507701	2.536438
24	-524.224903	2.505815
25	-524.942105	2.386442
26	-525.659306	2.361486
27	-526.376508	2.357463
28	-527.093710	2.353440
29	-527.810912	2.349415
30	-528.528114	2.345389
31	-529.245315	2.144841
32	-529.962517	2.040544
33	-530.679719	1.851016
34	-531.396921	1.847755
35	-532.114122	1.701063
36	-532.831324	1.422325
37	-533.548526	1.029966
38	-534.265728	0.867607
39	-534.982929	0.830838
40	-535.700131	0.662761
41	-536.417333	0.524703
42	-537.134535	0.386263
43	-537.851737	0.374056
44	-538.568938	0.082318
45	-539.286140	0.081428
46	-540.003342	-0.000424
bisection interval found by 1-dim search: [-540.003342,-539.286140]
No.18	 toolpath -456.445724	[r = -539.908789] is calculated within 11.035010s.
-----
initial linear search begins: 
No.	x	f(x)
0	-504.016853	6.997656
1	-504.734692	6.774635
2	-505.452531	6.480474
3	-506.170369	6.225762
4	-506.888208	5.932565
5	-507.606047	5.733857
6	-508.323885	5.628732
7	-509.041724	5.379638
8	-509.759563	5.220309
9	-510.477402	5.162691
10	-511.195240	5.151432
11	-511.913079	5.143658
12	-512.630918	5.129509
13	-513.348756	4.763487
14	-514.066595	4.430079
15	-514.784434	4.239434
16	-515.502273	4.025226
17	-516.220111	3.901619
18	-516.937950	3.837046
19	-517.655789	3.400037
20	-518.373627	3.116529
21	-519.091466	2.927453
22	-519.809305	2.809420
23	-520.527144	2.583432
24	-521.244982	2.550271
25	-521.962821	2.431541
26	-522.680660	2.394870
27	-523.398498	2.390849
28	-524.116337	2.386827
29	-524.834176	2.382804
30	-525.552015	2.378780
31	-526.269853	2.181596
32	-526.987692	2.071668
33	-527.705531	1.878045
34	-528.423369	1.874785
35	-529.141208	1.728651
36	-529.859047	1.447896
37	-530.576886	1.054526
38	-531.294724	0.886714
39	-532.012563	0.851003
40	-532.730402	0.679268
41	-533.448240	0.541095
42	-534.166079	0.398415
43	-534.883918	0.386796
44	-535.601757	0.089674
45	-536.319595	0.088785
46	-537.037434	0.002673
47	-537.755273	0.002299
48	-538.473111	0.001924
49	-539.190950	-0.468596
bisection interval found by 1-dim search: [-539.190950,-538.473111]
No.19	 toolpath -455.173383	[r = -538.637850] is calculated within 11.283596s.
-----
initial linear search begins: 
No.	x	f(x)
0	-502.732317	7.035546
1	-503.450428	6.813317
2	-504.168539	6.516053
3	-504.886649	6.262473
4	-505.604760	5.967572
5	-506.322871	5.767287
6	-507.040981	5.661556
7	-507.759092	5.413377
8	-508.477203	5.251107
9	-509.195313	5.193295
10	-509.913424	5.179195
11	-510.631535	5.171422
12	-511.349645	5.157779
13	-512.067756	4.792149
14	-512.785866	4.458064
15	-513.503977	4.265702
16	-514.222088	4.051755
17	-514.940198	3.925329
18	-515.658309	3.861638
19	-516.376420	3.424410
20	-517.094530	3.139051
21	-517.812641	2.949178
