The time spent in the parallel computing activating process is 0.000197s.
-----
No.1	 toolpath 535.073516	[r = 600.000000] is calculated within 0.025376s.
-----
initial linear search begins: 
No.	x	f(x)0	568.344755	1.379614
42	551.594063	0.320264
43	552.236207	0.269815
44	552.878351	0.147829
45	553.520494	-0.025257
No.15	 toolpath 488.509197	[r = 553.435681] is calculated within 10.698371s.
-----
initial linear search begins: 
No.	x	f(x)0	521.295704	1.791241
1	521.938504	1.717733
2	522.581303	1.633527
3	523.224103	1.540534
4	523.866902	1.439928
5	524.509702	1.334346
6	525.152501	1.225447
7	525.795301	1.114656
8	526.438100	1.111886
9	527.080900	1.109439
10	527.723699	1.106992
11	528.366499	1.104544
12	529.009298	1.102096
13	529.652098	1.099647
14	530.294897	1.097197
15	530.937697	1.094747
16	531.580497	1.069794
17	532.223296	0.989152
18	532.866096	0.893304
19	533.508895	0.793532
20	534.151695	0.697752
21	534.794494	0.610340
22	535.437294	0.607639
23	536.080093	0.606266
24	536.722893	0.569343
25	537.365692	0.574945
26	538.008492	0.603086
27	538.651291	0.612270
28	539.294091	0.613199
29	539.936890	0.614128
30	540.579690	0.615058
31	541.222489	0.615989
32	541.865289	0.605478
33	542.508089	0.544886
34	543.150888	0.421185
35	543.793688	0.334499
36	544.436487	0.333587
37	545.079287	0.332675
38	545.722086	0.331764
39	546.364886	0.331573
40	547.007685	0.330721
41	547.650485	0.329869
42	548.293284	0.328792
43	548.936084	0.273938
44	549.578883	0.150128
45	550.221683	-0.023414
No.16	 toolpath 485.215931	[r = 550.142416] is calculated within 11.050127s.
-----
initial linear search begins: 
No.	x	f(x)0	517.969903	1.762909
1	518.613353	1.691980
2	519.256803	1.609437
3	519.900254	1.518629
4	520.543704	1.419624
5	521.187154	1.315200
6	521.830604	1.208068
7	522.474055	1.139598
8	523.117505	1.137151
9	523.760955	1.134704
10	524.404405	1.132256
11	525.047856	1.129808
12	525.691306	1.127359
13	526.334756	1.124911
14	526.978206	1.122461
15	527.621657	1.120011
16	528.265107	1.065549
17	528.908557	0.976038
18	529.552008	0.876761
19	530.195458	0.775799
20	530.838908	0.680021
21	531.482358	0.597231
22	532.125809	0.598149
23	532.769259	0.599389
24	533.412709	0.570139
25	534.056159	0.570244
26	534.699610	0.596705
27	535.343060	0.602752
28	535.986510	0.603675
29	536.629961	0.604598
30	537.273411	0.605522
31	537.916861	0.606447
32	538.560311	0.598978
33	539.203762	0.543406
34	539.847212	0.424846
35	540.490662	0.343873
36	541.134112	0.342960
37	541.777563	0.342046
38	542.421013	0.341132
39	543.064463	0.340219
40	543.707913	0.339305
41	544.351364	0.338392
42	544.994814	0.325107
43	545.638264	0.239478
44	546.281715	0.152354
45	546.925165	-0.021313
No.17	 toolpath 481.926942	[r = 546.853427] is calculated within 10.601155s.
-----
initial linear search begins: 
No.	x	f(x)0	514.648645	1.733328
1	515.292741	1.664392
2	515.936836	1.584728
3	516.580932	1.496041
4	517.225028	1.398800
5	517.869123	1.295725
6	518.513219	1.190206
7	519.157315	1.164802
8	519.801410	1.162356
9	520.445506	1.159909
10	521.089602	1.157461
11	521.733697	1.155013
12	522.377793	1.152565
13	523.021888	1.150115
14	523.665984	1.147666
15	524.310080	1.131866
16	524.954175	1.055872
17	525.598271	0.960973
18	526.242367	0.859257
19	526.886462	0.757791
20	527.530558	0.661328
21	528.174654	0.587826
22	528.818749	0.588739
23	529.462845	0.589652
24	530.106940	0.570344
25	530.751036	0.566457
26	531.395132	0.589999
27	532.039227	0.593314
28	532.683323	0.594231
29	533.327419	0.595149
30	533.971514	0.596067
31	534.615610	0.596987
32	535.259706	0.592659
33	535.903801	0.541199
34	536.547897	0.428137
35	537.191992	0.353243
36	537.836088	0.352328
37	538.480184	0.351413
38	539.124279	0.350497
39	539.768375	0.349582
40	540.412471	0.348667
41	541.056566	0.347752
42	541.700662	0.331127
43	542.344758	0.242325
44	542.988853	0.097490
45	543.632949	-0.090336
No.18	 toolpath 478.639468	[r = 543.334229] is calculated within 10.583694s.
-----
initial linear search begins: 
No.	x	f(x)0	511.095170	1.726039
1	511.739951	1.663595
2	512.384732	1.590021
3	513.029513	1.507058
4	513.674294	1.414778
5	514.319075	1.315175
6	514.963857	1.211680
7	515.608638	1.191744
8	516.253419	1.189297
9	516.898200	1.186849
10	517.542981	1.184401
11	518.187763	1.181953
12	518.832544	1.179505
13	519.477325	1.177056
14	520.122106	1.174607
15	520.766887	1.154777
16	521.411668	1.077951
17	522.056450	0.982154
18	522.701231	0.879274
19	523.346012	0.776460
20	523.990793	0.677634
21	524.635574	0.585019
22	525.280356	0.580922
23	525.925137	0.581770
24	526.569918	0.579691
25	527.214699	0.553954
26	527.859480	0.579550
27	528.504261	0.585169
28	529.149043	0.586021
29	529.793824	0.586873
30	530.438605	0.587726
31	531.083386	0.588580
32	531.728167	0.589485
33	532.372949	0.563577
34	533.017730	0.478760
35	533.662511	0.363278
36	534.307292	0.362361
37	534.952073	0.361444
38	535.596854	0.360526
39	536.241636	0.359609
40	536.886417	0.358692
41	537.531198	0.357775
42	538.175979	0.353335
43	538.820760	0.286283
44	539.465542	0.158731
45	540.110323	-0.016870
No.19	 toolpath 475.359121	[r = 540.053883] is calculated within 10.501854s.
-----
initial linear search begins: 
No.	x	f(x)0	507.783105	1.693051
1	508.428521	1.632539
2	509.073936	1.562577
3	509.719352	1.481668
4	510.364767	1.391668
5	511.010183	1.294959
6	511.655598	1.219275
7	512.301014	1.216829
8	512.946429	1.214382
9	513.591845	1.211935
10	514.237261	1.209488
11	514.882676	1.207039
12	515.528092	1.204590
13	516.173507	1.202141
14	516.818923	1.199692
15	517.464338	1.150700
16	518.109754	1.063997
17	518.755170	0.964688
18	519.400585	0.861477
19	520.046001	0.757923
20	520.691416	0.658718
21	521.336832	0.571439
22	521.982247	0.572281
23	522.627663	0.573124
24	523.273078	0.573656
25	523.918494	0.552189
26	524.563910	0.574139
27	525.209325	0.576502
28	525.854741	0.577348
29	526.500156	0.578195
30	527.145572	0.579043
31	527.790987	0.579891
32	528.436403	0.581498
33	529.081819	0.559291
34	529.727234	0.479729
35	530.372650	0.372640
36	531.018065	0.371721
37	531.663481	0.370802
38	532.308896	0.369884
39	532.954312	0.368965
40	533.599727	0.368046
41	534.245143	0.367127
42	534.890559	0.361019
43	535.535974	0.290232
44	536.181390	0.161334
45	536.826805	-0.014824
No.20	 toolpath 472.082949	[r = 536.777710] is calculated within 10.966539s.
-----
initial linear search begins: 
No.	x	f(x)0	504.475476	1.659538
1	505.121520	1.601887
2	505.767565	1.534377
3	506.413610	1.456119
4	507.059654	1.368927
5	507.705699	1.274626
6	508.351744	1.244304
7	508.997788	1.241857
8	509.643833	1.239410
9	510.289878	1.236963
10	510.935922	1.234515
11	511.581967	1.232067
12	512.228012	1.229619
13	512.874056	1.227170
14	513.520101	1.211868
15	514.166146	1.139713
16	514.812191	1.047874
17	515.458235	0.946805
18	516.104280	0.842737
19	516.750325	0.738930
20	517.396369	0.639634
21	518.042414	0.562875
22	518.688459	0.563712
23	519.334503	0.564550
24	519.980548	0.565388
25	520.626593	0.551700
26	521.272637	0.567198
27	521.918682	0.567907
28	522.564727	0.568749
29	523.210771	0.569590
30	523.856816	0.570433
31	524.502861	0.571276
32	525.148906	0.572119
33	525.794950	0.554934
34	526.440995	0.479968
35	527.087040	0.381251
36	527.733084	0.381078
37	528.379129	0.380158
38	529.025174	0.379237
39	529.671218	0.378316
40	530.317263	0.377396
41	530.963308	0.376475
42	531.609352	0.367862
43	532.255397	0.293971
44	532.901442	0.163860
45	533.547486	-0.012542
No.21	 toolpath 468.810919	[r = 533.505680] is calculated within 13.147334s.
-----
initial linear search begins: 
No.	x	f(x)0	501.172250	1.625043
1	501.818919	1.569305
2	502.465588	1.505051
3	503.112256	1.431032
4	503.758925	1.345599
5	504.405593	1.271721
6	505.052262	1.269275
7	505.698931	1.266829
8	506.345599	1.264382
9	506.992268	1.261935
10	507.638936	1.259487
11	508.285605	1.257038
12	508.932273	1.254589
13	509.578942	1.252140
14	510.225611	1.207511
15	510.872279	1.125491
16	511.518948	1.030022
17	512.165616	0.927904
18	512.812285	0.823472
19	513.458954	0.719943
20	514.105622	0.621127
21	514.752291	0.554382
22	515.398959	0.555214
