The time spent in the parallel computing activating process is 0.000249s.
-----
No.1	 toolpath -517.894901	[r = -600.000000] is calculated within 0.030134s.
-----
initial linear search begins: 
No.	x	f(x)
15	-89.313531	0.525164
16	-90.261607	0.428492
17	-91.209684	0.261045
18	-92.157760	0.116870
19	-93.105836	-0.009332
bisection interval found by 1-dim search: [-93.105836,-92.157760]
No.24	 toolpath -82.453525	[r = -93.030842] is calculated within 12.488424s.
-----
initial linear search begins: 
No.	x	f(x)
0	-45.554898	3.429815
1	-46.504417	3.261131
2	-47.453936	3.110185
3	-48.403455	2.962636
4	-49.352973	2.883604
5	-50.302492	2.714459
6	-51.252011	2.513213
7	-52.201530	2.274963
8	-53.151049	2.015780
9	-54.100568	1.750479
10	-55.050087	1.492876
11	-55.999606	1.368690
12	-56.949125	1.145673
13	-57.898643	0.953325
14	-58.848162	0.786273
15	-59.797681	0.636966
16	-60.747200	0.498057
17	-61.696719	0.430034
18	-62.646238	0.295371
19	-63.595757	0.154319
20	-64.545276	0.003634
21	-65.494794	-0.148543
bisection interval found by 1-dim search: [-65.494794,-64.545276]
No.25	 toolpath -57.316985	[r = -64.570312] is calculated within 12.360475s.
-----
initial linear search begins: 
No.	x	f(x)
0	-17.043492	4.137131
1	-17.994029	3.969152
2	-18.944565	3.799760
3	-19.895102	3.614036
4	-20.845638	3.399058
5	-21.796174	3.147089
6	-22.746711	2.868593
7	-23.697247	2.582200
8	-24.647784	2.299942
9	-25.598320	2.157027
10	-26.548856	1.908648
11	-27.499393	1.691937
12	-28.449929	1.501522
13	-29.400465	1.329738
14	-30.351002	1.169044
15	-31.301538	1.014383
16	-32.252075	0.857577
17	-33.202611	0.691482
18	-34.153147	0.601014
19	-35.103684	0.427920
20	-36.054220	0.259041
21	-37.004757	0.104693
22	-37.955293	-0.028745
bisection interval found by 1-dim search: [-37.955293,-37.004757]
No.26	 toolpath -32.343420	[r = -37.735296] is calculated within 12.597413s.
-----
initial linear search begins: 
No.	x	f(x)
0	9.822636	4.801551
1	8.871477	4.611198
2	7.920318	4.401089
3	6.969160	4.269070
4	6.018001	4.005460
5	5.066842	3.711489
6	4.115684	3.405039
7	3.164525	3.101197
8	2.213367	2.814419
9	1.262208	2.554663
10	0.311049	2.326980
11	-0.640109	2.123063
12	-1.591268	1.936390
13	-2.542427	1.760104
14	-3.493585	1.586059
15	-4.444744	1.488208
16	-5.395902	1.305108
17	-6.347061	1.113860
18	-7.298220	0.922125
19	-8.249378	0.738274
20	-9.200537	0.571893
21	-10.151696	0.428678
22	-11.102854	0.308118
23	-12.054013	0.200875
24	-13.005171	0.097362
25	-13.956330	-0.010568
bisection interval found by 1-dim search: [-13.956330,-13.005171]
No.27	 toolpath -9.806366	[r = -13.864372] is calculated within 12.896674s.
-----
initial linear search begins: 
No.	x	f(x)
0	33.707511	5.438932
1	32.756073	5.314612
2	31.804636	5.079132
3	30.853198	4.806123
4	29.901760	4.500661
5	28.950323	4.177205
6	27.998885	3.854195
7	27.047447	3.544110
8	26.096010	3.260163
9	25.144572	3.008552
10	24.193134	2.784227
11	23.241697	2.577357
12	22.290259	2.382088
13	21.338821	2.190935
14	20.387384	2.081292
15	19.435946	1.882474
16	18.484508	1.675641
17	17.533071	1.466527
18	16.581633	1.263524
19	15.630195	1.076567
20	14.678758	0.912947
21	13.727320	0.773582
22	12.775882	0.647820
23	11.824445	0.527941
24	10.873007	0.404850
25	9.921569	0.268317
26	8.970132	0.113840
27	8.018694	-0.048875
bisection interval found by 1-dim search: [8.018694,8.970132]
No.28	 toolpath 11.518054	[r = 8.303939] is calculated within 13.107723s.
-----
-----
No.28	 toolpath point at [r = 0] is calculated within 2.050417s.
-----
The toolpath concentric optimization process causes 346.648422 seconds.
The time spent in the spiral toolpath generation process is 0.615493s.
close all; save data.mat
s6_post_process
s4_optim_2D_aspheric_actual_tip_multi_iter
