MLP-2 3D CSV
Version,1.00
File Name,20221020-3D-1.csv
Axis,Y,Z
Pitch,0.002000,0.000900
Range,0.751200,0.013900
Number of data,661,16
Total number of data storage,10320    
Data name,Polygon data(The 1 profiles AZ=-121deg.)
AF gain,Standard
AF sensor,Wide
Objective lens,LM100X
Laser offset,
Direction,Uni-direction +
Rotation center,X:,109.61152,Y:,61.53939,Z:,13.55202,AZ:,0.0000,EL:,0.000,AF:,-14.869084
Measuring time,2022/10/20,19:49:02,-,20:02:36
X,Y,Z
-0.089124,7.227975,6.866924
-0.087258,7.227310,6.866924
-0.085194,7.226625,6.866924
-0.083637,7.226011,6.866924
-0.081689,7.225269,6.866924
-0.079854,7.224572,6.866924
-0.078118,7.223887,6.866924
-0.076241,7.223125,6.866924
-0.074340,7.222344,6.866924
-0.072412,7.221513,6.866924
-0.070652,7.220730,6.866924
-0.068873,7.219884,6.866924
-0.067007,7.219009,6.866924
-0.065136,7.218159,6.866924
-0.063182,7.217215,6.866924
-0.061350,7.216283,6.866924
-0.059305,7.215142,6.866924
-0.057543,7.214076,6.866924
-0.055808,7.213023,6.866924
-0.054124,7.212001,6.866924
-0.052380,7.210943,6.866924
-0.050713,7.209931,6.866924
-0.048910,7.208874,6.866924
-0.047174,7.207879,6.866924
-0.045532,7.206942,6.866924
-0.043750,7.205849,6.866924
-0.042214,7.204930,6.866924
-0.040586,7.203932,6.866924
-0.038756,7.202822,6.866924
-0.036973,7.201750,6.866924
-0.035293,7.200510,6.866924
-0.033558,7.199494,6.866924
-0.031922,7.198220,6.866924
-0.030259,7.196912,6.866924
-0.028712,7.195799,6.866924
-0.027090,7.194636,6.866924
-0.025629,7.193380,6.866924
-0.024077,7.191988,6.866924
-0.022982,7.191402,6.866924
-0.020929,7.189561,6.866924
-0.019011,7.187728,6.866924
-0.017989,7.186907,6.866924
-0.015931,7.185153,6.866924
-0.015184,7.184552,6.866924
-0.013314,7.182583,6.866924
-0.012055,7.181593,6.866924
-0.010653,7.180298,6.866924
-0.009447,7.179085,6.866924
-0.007708,7.177364,6.866924
-0.006458,7.176206,6.866924
-0.005008,7.174739,6.866924
-0.003519,7.173145,6.866924
-0.002128,7.171581,6.866924
-0.000742,7.170011,6.866924
0.001232,7.167733,6.866924
0.002339,7.166609,6.866924
0.003996,7.164558,6.866924
0.004855,7.163911,6.866924
0.006370,7.161377,6.866924
0.007474,7.160420,6.866924
0.008853,7.158336,6.866924
0.010003,7.156876,6.866924
0.011531,7.154866,6.866924
0.012730,7.153390,6.866924
0.013966,7.151745,6.866924
0.015140,7.149902,6.866924
0.016367,7.148242,6.866924
0.017826,7.146194,6.866924
0.018979,7.145048,6.866924
0.020512,7.142447,6.866924
0.021778,7.140813,6.866924
0.023220,7.138583,6.866924
0.024052,7.137004,6.866924
0.025091,7.134591,6.866924
0.026683,7.133128,6.866924
0.027628,7.132083,6.866924
0.028834,7.129714,6.866924
0.029951,7.128007,6.866924
0.031052,7.126044,6.866924
0.032370,7.124438,6.866924
0.033918,7.121841,6.866924
0.034797,7.120650,6.866924
0.036228,7.118208,6.866924
0.037130,7.116956,6.866924
0.038664,7.114300,6.866924
0.039564,7.113122,6.866924
0.041043,7.110393,6.866924
0.041822,7.108439,6.866924
0.043385,7.106447,6.866924
0.044070,7.105532,6.866924
0.045427,7.103218,6.866924
0.046653,7.101460,6.866924
0.047822,7.099436,6.866924
0.049079,7.097247,6.866924
0.050290,7.095599,6.866924
0.051410,7.093513,6.866924
0.052424,7.091887,6.866924
0.053911,7.089364,6.866924
0.054802,7.088327,6.866924
0.056308,7.085488,6.866924
0.057098,7.083397,6.866924
0.058794,7.081260,6.866924
0.059497,7.080453,6.866924
0.060753,7.077259,6.866924
0.062326,7.075476,6.866924
0.063006,7.074456,6.866924
0.064267,7.072197,6.866924
0.065184,7.070162,6.866924
0.066766,7.068431,6.866924
0.067865,7.066561,6.866924
0.068668,7.064009,6.866924
0.070472,7.062278,6.866924
0.071398,7.060007,6.866924
0.072647,7.059078,6.866924
0.073674,7.056626,6.866924
0.075078,7.054660,6.866924
0.076300,7.052992,6.866924
0.077704,7.050121,6.866924
0.078354,7.049766,6.866924
0.079346,7.047602,6.866924
0.080598,7.045560,6.866924
0.081763,7.043547,6.866924
0.082955,7.041869,6.866924
0.084160,7.039921,6.866924
0.085313,7.038004,6.866924
0.086446,7.036132,6.866924
0.087620,7.034250,6.866924
0.088652,7.032462,6.866924
0.089886,7.030486,6.866924
